DatasetID,year1,author1,y:Value,y,dy,x1:ResEn,x1(eV),dx1(eV),x2:IncEn,x2(eV),dx2(eV),x3:SecEn,x3(eV),dx3(eV),x4:Angle,x4(deg),dx4(deg),x5:Num,x5,dx5,x6:Other,x6,dx6,x7:Prod,ProdZA,ProdM,zaTarg1,Targ1,Proj,Emiss,Prod1,MF,MT,ReacType,Quant1,nx,indVars,Reacode
11133004,1963,E.Jurney+,Data(B),0.0038,4.0e-4,null,,,SpE(EV),0.0253,,null,,,null,,,null,,,null,,,null,,,6012,6-C-12,N,G,6-C-13,3,102,CS,CS,1,2,"6-C-12(N,G)6-C-13,,SIG,,MXW"
11345002,1957,G.R.Hennig,Data(B),0.00329,1.5e-4,null,,,SpE(EV),0.0253,,null,,,null,,,null,,,null,,,null,,,6012,6-C-12,N,G,6-C-13,3,102,CS,CS,1,2,"6-C-12(N,G)6-C-13,,SIG,,SPA"
12744003,1982,E.T.Jurney+,Data(B),0.00353,7.0e-5,null,,,SpE(EV),0.0253,,null,,,null,,,null,,,null,,,null,,,6012,6-C-12,N,G,6-C-13,3,102,CS,CS,1,2,"6-C-12(N,G)6-C-13,,SIG,,MXW"
127990021,1982,S.F.Mughabghab+,Data(NO-DIM),0.388,0.01,null,,,SpE(EV),0.0253,,null,,,null,,,null,,,null,,,null,,,6013,6-C-13,N,G,6-C-14,203,102,Ratio,CS,1,2,"(6-C-13(N,G)6-C-14,,SIG,,MXW)/(6-C-12(N,G)6-C-13,,SIG,,MXW)"
127990022,1982,S.F.Mughabghab+,Data(B),0.00137,4.0e-5,null,,,SpE(EV),0.0253,,null,,,null,,,null,,,null,,,null,,,6013,6-C-13,N,G,6-C-14,3,102,CS,CS,1,2,"6-C-13(N,G)6-C-14,,SIG,,MXW"
12799003,1982,S.F.Mughabghab+,Data(B),0.00114,2.0e-5,null,,,SpE(EV),0.0253,,E2(EV),1.262e+6,,null,,,null,,,null,,,null,,,6012,6-C-12,N,G,6-C-13,3,0,CSP,CSP,2,23,"6-C-12(N,G)6-C-13,PAR,SIG,,MXW"
12799003,1982,S.F.Mughabghab+,Data(B),0.00238,5.0e-5,null,,,SpE(EV),0.0253,,E2(EV),4.945e+6,,null,,,null,,,null,,,null,,,6012,6-C-12,N,G,6-C-13,3,0,CSP,CSP,2,23,"6-C-12(N,G)6-C-13,PAR,SIG,,MXW"
14127002,1990,R.L.Macklin,Min2Max(B),8.015e-6,7.49997e-8,null,,,SpT(EV),5000,,null,,,null,,,null,,,null,,,null,,,6012,6-C-12,N,G,6-C-13,3,102,CS,CS,1,2,"6-C-12(N,G)6-C-13,,SIG,,MXW"
14127002,1990,R.L.Macklin,Min2Max(B),7.49e-6,2.4e-7,null,,,SpT(EV),6000,,null,,,null,,,null,,,null,,,null,,,6012,6-C-12,N,G,6-C-13,3,102,CS,CS,1,2,"6-C-12(N,G)6-C-13,,SIG,,MXW"
14127002,1990,R.L.Macklin,Min2Max(B),7.24e-6,5.3e-7,null,,,SpT(EV),7000,,null,,,null,,,null,,,null,,,null,,,6012,6-C-12,N,G,6-C-13,3,102,CS,CS,1,2,"6-C-12(N,G)6-C-13,,SIG,,MXW"
