DatasetID,year1,author1,y:Value,y,dy,x1:ResEn,x1(eV),dx1(eV),x2:IncEn,x2(eV),dx2(eV),x3:SecEn,x3(eV),dx3(eV),x4:Angle,x4(deg),dx4(deg),x5:Num,x5,dx5,x6:Other,x6,dx6,x7:Prod,ProdZA,ProdM,zaTarg1,Targ1,Proj,Emiss,Prod1,MF,MT,ReacType,Quant1,nx,indVars,Reacode
A0430002,2002,LUNA Collaboration+,Data(B),9.2e-12,4.00026e-12,null,,,EN(EV),3780.98,0.378098,null,,,null,,,null,,,null,,,null,,,1002,1-H-2,P,G,2-HE-3,3,102,CS,CS,1,2,"1-H-2(P,G)2-HE-3,,SIG"
A0430002,2002,LUNA Collaboration+,Data(B),7.2e-12,2.20029e-12,null,,,EN(EV),3871,0.3871,null,,,null,,,null,,,null,,,null,,,1002,1-H-2,P,G,2-HE-3,3,102,CS,CS,1,2,"1-H-2(P,G)2-HE-3,,SIG"
A0430002,2002,LUNA Collaboration+,Data(B),4.12e-11,7.00303e-12,null,,,EN(EV),4741.22,0.474122,null,,,null,,,null,,,null,,,null,,,1002,1-H-2,P,G,2-HE-3,3,102,CS,CS,1,2,"1-H-2(P,G)2-HE-3,,SIG"
A0430002,2002,LUNA Collaboration+,Data(B),5.0e-11,7.40422e-12,null,,,EN(EV),4831.25,0.483125,null,,,null,,,null,,,null,,,null,,,1002,1-H-2,P,G,2-HE-3,3,102,CS,CS,1,2,"1-H-2(P,G)2-HE-3,,SIG"
A0430002,2002,LUNA Collaboration+,Data(B),1.25e-10,1.5013e-11,null,,,EN(EV),5716.48,0.571648,null,,,null,,,null,,,null,,,null,,,1002,1-H-2,P,G,2-HE-3,3,102,CS,CS,1,2,"1-H-2(P,G)2-HE-3,,SIG"
A0430002,2002,LUNA Collaboration+,Data(B),1.98e-10,1.10445e-11,null,,,EN(EV),6271.62,0.627162,null,,,null,,,null,,,null,,,null,,,1002,1-H-2,P,G,2-HE-3,3,102,CS,CS,1,2,"1-H-2(P,G)2-HE-3,,SIG"
A0430002,2002,LUNA Collaboration+,Data(B),3.07e-10,2.00588e-11,null,,,EN(EV),6841.77,0.684177,null,,,null,,,null,,,null,,,null,,,1002,1-H-2,P,G,2-HE-3,3,102,CS,CS,1,2,"1-H-2(P,G)2-HE-3,,SIG"
A0430002,2002,LUNA Collaboration+,Data(B),3.63e-10,2.20747e-11,null,,,EN(EV),6946.79,0.694679,null,,,null,,,null,,,null,,,null,,,1002,1-H-2,P,G,2-HE-3,3,102,CS,CS,1,2,"1-H-2(P,G)2-HE-3,,SIG"
A0430002,2002,LUNA Collaboration+,Data(B),6.23e-10,4.41101e-11,null,,,EN(EV),7787.01,0.778701,null,,,null,,,null,,,null,,,null,,,1002,1-H-2,P,G,2-HE-3,3,102,CS,CS,1,2,"1-H-2(P,G)2-HE-3,,SIG"
A0430002,2002,LUNA Collaboration+,Data(B),1.034e-9,6.42085e-11,null,,,EN(EV),8777.27,0.877726,null,,,null,,,null,,,null,,,null,,,1002,1-H-2,P,G,2-HE-3,3,102,CS,CS,1,2,"1-H-2(P,G)2-HE-3,,SIG"
A0430002,2002,LUNA Collaboration+,Data(B),1.295e-9,6.63169e-11,null,,,EN(EV),9167.37,0.916737,null,,,null,,,null,,,null,,,null,,,1002,1-H-2,P,G,2-HE-3,3,102,CS,CS,1,2,"1-H-2(P,G)2-HE-3,,SIG"
A0430002,2002,LUNA Collaboration+,Data(B),1.684e-9,6.7527e-11,null,,,EN(EV),9692.5,0.96925,null,,,null,,,null,,,null,,,null,,,1002,1-H-2,P,G,2-HE-3,3,102,CS,CS,1,2,"1-H-2(P,G)2-HE-3,,SIG"
A0430002,2002,LUNA Collaboration+,Data(B),1.98e-9,9.65091e-11,null,,,EN(EV),10112.6,1.01126,null,,,null,,,null,,,null,,,null,,,1002,1-H-2,P,G,2-HE-3,3,102,CS,CS,1,2,"1-H-2(P,G)2-HE-3,,SIG"
A0430002,2002,LUNA Collaboration+,Data(B),2.63e-9,1.10783e-10,null,,,EN(EV),10787.8,1.07878,null,,,null,,,null,,,null,,,null,,,1002,1-H-2,P,G,2-HE-3,3,102,CS,CS,1,2,"1-H-2(P,G)2-HE-3,,SIG"
A0430002,2002,LUNA Collaboration+,Data(B),3.6e-9,1.3124e-10,null,,,EN(EV),11703,1.1703,null,,,null,,,null,,,null,,,null,,,1002,1-H-2,P,G,2-HE-3,3,102,CS,CS,1,2,"1-H-2(P,G)2-HE-3,,SIG"
A0430002,2002,LUNA Collaboration+,Data(B),4.7e-9,1.60017e-9,null,,,EN(EV),12648.3,1.26483,null,,,null,,,null,,,null,,,null,,,1002,1-H-2,P,G,2-HE-3,3,102,CS,CS,1,2,"1-H-2(P,G)2-HE-3,,SIG"
A0430002,2002,LUNA Collaboration+,Data(B),4.73e-9,3.00931e-10,null,,,EN(EV),12768.3,1.27683,null,,,null,,,null,,,null,,,null,,,1002,1-H-2,P,G,2-HE-3,3,102,CS,CS,1,2,"1-H-2(P,G)2-HE-3,,SIG"
A0430002,2002,LUNA Collaboration+,Data(B),5.89e-9,9.50456e-10,null,,,EN(EV),13668.5,1.36685,null,,,null,,,null,,,null,,,null,,,1002,1-H-2,P,G,2-HE-3,3,102,CS,CS,1,2,"1-H-2(P,G)2-HE-3,,SIG"
A0430002,2002,LUNA Collaboration+,Data(B),6.13e-9,4.21117e-10,null,,,EN(EV),13698.5,1.36985,null,,,null,,,null,,,null,,,null,,,1002,1-H-2,P,G,2-HE-3,3,102,CS,CS,1,2,"1-H-2(P,G)2-HE-3,,SIG"
A0430002,2002,LUNA Collaboration+,Data(B),7.49e-9,5.01401e-10,null,,,EN(EV),14598.8,1.45988,null,,,null,,,null,,,null,,,null,,,1002,1-H-2,P,G,2-HE-3,3,102,CS,CS,1,2,"1-H-2(P,G)2-HE-3,,SIG"
A0430002,2002,LUNA Collaboration+,Data(B),7.98e-9,4.51765e-10,null,,,EN(EV),14763.8,1.47638,null,,,null,,,null,,,null,,,null,,,1002,1-H-2,P,G,2-HE-3,3,102,CS,CS,1,2,"1-H-2(P,G)2-HE-3,,SIG"
A0430002,2002,LUNA Collaboration+,Data(B),1.0e-8,2.1006e-9,null,,,EN(EV),15544,1.5544,null,,,null,,,null,,,null,,,null,,,1002,1-H-2,P,G,2-HE-3,3,102,CS,CS,1,2,"1-H-2(P,G)2-HE-3,,SIG"
A0430002,2002,LUNA Collaboration+,Data(B),9.61e-9,6.41801e-10,null,,,EN(EV),15574,1.5574,null,,,null,,,null,,,null,,,null,,,1002,1-H-2,P,G,2-HE-3,3,102,CS,CS,1,2,"1-H-2(P,G)2-HE-3,,SIG"
