DatasetID,year1,author1,y:Value,y,dy,x1:ResEn,x1(eV),dx1(eV),x2:IncEn,x2(eV),dx2(eV),x3:SecEn,x3(eV),dx3(eV),x4:Angle,x4(deg),dx4(deg),x5:Num,x5,dx5,x6:Other,x6,dx6,x7:Prod,ProdZA,ProdM,zaTarg1,Targ1,Proj,Emiss,Prod1,MF,MT,ReacType,Quant1,nx,indVars,Reacode
14224002,2009,T.Nakamura+,Data(B),7.5e-6,1.2e-6,null,,,EN(EV),53601.5,,null,,,null,,,null,,,null,,,null,,,6014,6-C-14,N,G,6-C-15,3,102,CS,CS,1,2,"6-C-14(N,G)6-C-15,,SIG,,,DERIV"
14224002,2009,T.Nakamura+,Data(B),9.1e-6,8.0e-7,null,,,EN(EV),1.60805e+5,,null,,,null,,,null,,,null,,,null,,,6014,6-C-14,N,G,6-C-15,3,102,CS,CS,1,2,"6-C-14(N,G)6-C-15,,SIG,,,DERIV"
14224002,2009,T.Nakamura+,Data(B),8.9e-6,7.0e-7,null,,,EN(EV),2.68008e+5,,null,,,null,,,null,,,null,,,null,,,6014,6-C-14,N,G,6-C-15,3,102,CS,CS,1,2,"6-C-14(N,G)6-C-15,,SIG,,,DERIV"
14224002,2009,T.Nakamura+,Data(B),1.03e-5,7.0e-7,null,,,EN(EV),3.75211e+5,,null,,,null,,,null,,,null,,,null,,,6014,6-C-14,N,G,6-C-15,3,102,CS,CS,1,2,"6-C-14(N,G)6-C-15,,SIG,,,DERIV"
14224002,2009,T.Nakamura+,Data(B),1.14e-5,8.0e-7,null,,,EN(EV),4.82414e+5,,null,,,null,,,null,,,null,,,null,,,6014,6-C-14,N,G,6-C-15,3,102,CS,CS,1,2,"6-C-14(N,G)6-C-15,,SIG,,,DERIV"
14224002,2009,T.Nakamura+,Data(B),1.31e-5,9.0e-7,null,,,EN(EV),5.89617e+5,,null,,,null,,,null,,,null,,,null,,,6014,6-C-14,N,G,6-C-15,3,102,CS,CS,1,2,"6-C-14(N,G)6-C-15,,SIG,,,DERIV"
14224002,2009,T.Nakamura+,Data(B),1.25e-5,1.0e-6,null,,,EN(EV),6.9682e+5,,null,,,null,,,null,,,null,,,null,,,6014,6-C-14,N,G,6-C-15,3,102,CS,CS,1,2,"6-C-14(N,G)6-C-15,,SIG,,,DERIV"
14224002,2009,T.Nakamura+,Data(B),1.31e-5,1.1e-6,null,,,EN(EV),8.04023e+5,,null,,,null,,,null,,,null,,,null,,,6014,6-C-14,N,G,6-C-15,3,102,CS,CS,1,2,"6-C-14(N,G)6-C-15,,SIG,,,DERIV"
14224002,2009,T.Nakamura+,Data(B),1.42e-5,1.2e-6,null,,,EN(EV),9.11226e+5,,null,,,null,,,null,,,null,,,null,,,6014,6-C-14,N,G,6-C-15,3,102,CS,CS,1,2,"6-C-14(N,G)6-C-15,,SIG,,,DERIV"
14224002,2009,T.Nakamura+,Data(B),1.36e-5,1.4e-6,null,,,EN(EV),1.01843e+6,,null,,,null,,,null,,,null,,,null,,,6014,6-C-14,N,G,6-C-15,3,102,CS,CS,1,2,"6-C-14(N,G)6-C-15,,SIG,,,DERIV"
14224002,2009,T.Nakamura+,Data(B),1.72e-5,1.6e-6,null,,,EN(EV),1.07203e+6,,null,,,null,,,null,,,null,,,null,,,6014,6-C-14,N,G,6-C-15,3,102,CS,CS,1,2,"6-C-14(N,G)6-C-15,,SIG,,,DERIV"
14224002,2009,T.Nakamura+,Data(B),1.29e-5,1.8e-6,null,,,EN(EV),1.17923e+6,,null,,,null,,,null,,,null,,,null,,,6014,6-C-14,N,G,6-C-15,3,102,CS,CS,1,2,"6-C-14(N,G)6-C-15,,SIG,,,DERIV"
14224002,2009,T.Nakamura+,Data(B),1.65e-5,2.0e-6,null,,,EN(EV),1.28644e+6,,null,,,null,,,null,,,null,,,null,,,6014,6-C-14,N,G,6-C-15,3,102,CS,CS,1,2,"6-C-14(N,G)6-C-15,,SIG,,,DERIV"
14224002,2009,T.Nakamura+,Data(B),1.38e-5,2.3e-6,null,,,EN(EV),1.39364e+6,,null,,,null,,,null,,,null,,,null,,,6014,6-C-14,N,G,6-C-15,3,102,CS,CS,1,2,"6-C-14(N,G)6-C-15,,SIG,,,DERIV"
14224002,2009,T.Nakamura+,Data(B),1.29e-5,2.6e-6,null,,,EN(EV),1.50084e+6,,null,,,null,,,null,,,null,,,null,,,6014,6-C-14,N,G,6-C-15,3,102,CS,CS,1,2,"6-C-14(N,G)6-C-15,,SIG,,,DERIV"
14224002,2009,T.Nakamura+,Data(B),1.11e-5,2.2e-6,null,,,EN(EV),1.71525e+6,,null,,,null,,,null,,,null,,,null,,,6014,6-C-14,N,G,6-C-15,3,102,CS,CS,1,2,"6-C-14(N,G)6-C-15,,SIG,,,DERIV"
14224002,2009,T.Nakamura+,Data(B),1.53e-5,2.6e-6,null,,,EN(EV),1.92966e+6,,null,,,null,,,null,,,null,,,null,,,6014,6-C-14,N,G,6-C-15,3,102,CS,CS,1,2,"6-C-14(N,G)6-C-15,,SIG,,,DERIV"
